game_name,release_date,Added to Service,Removed from Service,metacritic_score,publisher,developer,System
Earth Defense Force 2025,2014-02-18,2019-09-01,2019-09-01,,D3 Publisher,"D3 Publisher, SANDLOT",XB360/OG Xbox
Forza Motorsport 6,2015-09-15,2019-08-01,2019-09-01,87,Microsoft Studios,Turn 10 Studios,XB1/Series X|S
LEGO Batman 2: DC Super Heroes,2012-06-01,2019-03-01,2019-09-01,79,"Feral Interactive, Warner Bros. Interactive","Traveller's Tales, TT Fusion",Xbox
LEGO Indiana Jones: The Original Adventures,2008-06-01,2018-10-01,2019-09-01,77,"Disney Interactive, LucasArts Entertainment","Traveller's Tales, LucasArts Entertainment",Xbox
Split/Second,2010-05-01,2018-10-01,2019-09-01,82,Disney Interactive,"Disney Interactive Studios, Black Rock Studio, BlackRock Studios",Xbox
Onrush,2018-06-01,2018-09-01,2019-09-01,77,Deep Silver,Codemasters,Xbox
Ninja Gaiden Black,2005-09-01,2017-11-01,2019-09-01,94,"Koei Tecmo Games, Tecmo","Koei Tecmo, Team NINJA, Tecmo",Xbox
Super Street Fighter IV: Arcade Edition,2010-02-01,2017-10-01,2019-09-01,78,Capcom,"Capcom, Capcom U.S.A, DIMPS",Xbox
'Splosion Man,2009-07-01,2017-06-01,2019-09-01,84,Microsoft Studios,Twisted Pixel Games,Xbox
The Maw,2009-01-01,2017-06-01,2019-09-01,75,"Microsoft Studios, Twisted Pixel Games",Twisted Pixel Games,Xbox
Castlevania: Lords of Shadow,2010-10-05,2019-08-01,2019-08-01,84,Konami,"Konami Digital Entertainment, Kojima Productions, Mercury Steam Entertainment",XB360/OG Xbox
Gears of War 4,2016-10-11,2019-08-01,2019-08-01,85,Microsoft Studios,The Coalition,XB1/Series X|S
Torchlight,2009-10-26,2019-08-01,2019-08-01,83,"Microsoft Studios, Perfect World Entertainment, JoWooD Entertainment, Runic Games",Runic Games,XB360/OG Xbox
Big Crown: Showdown,2018-12-14,2019-07-01,2019-08-01,,Sold Out,"Hyper Luminal Games, SOLD OUT SALES & MARKETING",XB1/Series X|S
InnerSpace,2018-01-01,2018-09-01,2019-08-01,64,Aspyr,"Aspyr Media, PolyKnight Games",Xbox
